date,locale,traffic,conversion
2022-01-01,AU,100,2
2022-01-01,BR,125,1
2022-01-01,CA,173,2
2022-01-01,DE,185,2
2022-01-01,ES,148,0
2022-01-01,FR,200,2
2022-01-01,GB,869,19
2022-01-01,IN,232,4
2022-01-01,JP,186,1
2022-01-01,TR,235,2
2022-01-01,US,469,3
2022-01-02,AU,118,1
2022-01-02,BR,196,0
2022-01-02,CA,173,0
2022-01-02,DE,269,1
2022-01-02,ES,206,0
2022-01-02,FR,294,2
2022-01-02,GB,1027,10
2022-01-02,IN,302,7
2022-01-02,JP,240,4
2022-01-02,TR,294,1
2022-01-02,US,585,5
2022-01-03,AU,145,19
2022-01-03,BR,327,11
2022-01-03,CA,229,7
2022-01-03,DE,385,27
2022-01-03,ES,335,18
2022-01-03,FR,379,12
2022-01-03,GB,1379,76
2022-01-03,IN,344,11
2022-01-03,JP,258,3
2022-01-03,TR,429,20
2022-01-03,US,851,43
2022-01-04,AU,184,17
2022-01-04,BR,369,20
2022-01-04,CA,262,15
2022-01-04,DE,409,22
2022-01-04,ES,317,9
2022-01-04,FR,358,25
2022-01-04,GB,1655,64
2022-01-04,IN,349,13
2022-01-04,JP,429,44
2022-01-04,TR,411,14
2022-01-04,US,831,55
2022-01-05,AU,180,18
2022-01-05,BR,376,13
2022-01-05,CA,266,7
2022-01-05,DE,372,21
2022-01-05,ES,328,8
2022-01-05,FR,379,11
2022-01-05,GB,1521,68
2022-01-05,IN,376,11
2022-01-05,JP,400,32
2022-01-05,TR,394,12
2022-01-05,US,847,53
2022-01-06,AU,206,11
2022-01-06,BR,328,16
2022-01-06,CA,259,15
2022-01-06,DE,340,15
2022-01-06,ES,289,7
2022-01-06,FR,370,21
2022-01-06,GB,1442,68
2022-01-06,IN,346,13
2022-01-06,JP,408,27
2022-01-06,TR,415,7
2022-01-06,US,798,53
2022-01-07,AU,182,9
2022-01-07,BR,277,11
2022-01-07,CA,245,12
2022-01-07,DE,339,25
2022-01-07,ES,303,8
2022-01-07,FR,343,10
2022-01-07,GB,1421,45
2022-01-07,IN,334,18
2022-01-07,JP,377,26
2022-01-07,TR,399,12
2022-01-07,US,797,45
2022-01-08,AU,133,7
2022-01-08,BR,223,4
2022-01-08,CA,218,3
2022-01-08,DE,247,1
2022-01-08,ES,232,4
2022-01-08,FR,294,3
2022-01-08,GB,1191,25
2022-01-08,IN,265,0
2022-01-08,JP,275,1
2022-01-08,TR,294,1
2022-01-08,US,604,19
2022-01-09,AU,134,12
2022-01-09,BR,227,2
2022-01-09,CA,203,4
2022-01-09,DE,278,5
2022-01-09,ES,211,3
2022-01-09,FR,304,7
2022-01-09,GB,1079,29
2022-01-09,IN,263,3
2022-01-09,JP,276,1
2022-01-09,TR,314,1
2022-01-09,US,548,17
2022-01-10,AU,189,15
2022-01-10,BR,362,15
2022-01-10,CA,295,16
2022-01-10,DE,347,24
2022-01-10,ES,281,12
2022-01-10,FR,364,20
2022-01-10,GB,1489,99
2022-01-10,IN,343,26
2022-01-10,JP,347,16
2022-01-10,TR,443,21
2022-01-10,US,814,81
2022-01-11,AU,183,15
2022-01-11,BR,382,31
2022-01-11,CA,255,13
2022-01-11,DE,359,21
2022-01-11,ES,361,9
2022-01-11,FR,367,16
2022-01-11,GB,1671,73
2022-01-11,IN,352,16
2022-01-11,JP,406,63
2022-01-11,TR,392,15
2022-01-11,US,908,43
2022-01-12,AU,216,10
2022-01-12,BR,373,13
2022-01-12,CA,268,16
2022-01-12,DE,321,13
2022-01-12,ES,323,7
2022-01-12,FR,337,10
2022-01-12,GB,1525,83
2022-01-12,IN,364,10
2022-01-12,JP,426,31
2022-01-12,TR,351,10
2022-01-12,US,886,50
2022-01-13,AU,218,15
2022-01-13,BR,351,17
2022-01-13,CA,358,11
2022-01-13,DE,368,14
2022-01-13,ES,317,7
2022-01-13,FR,381,18
2022-01-13,GB,1522,68
2022-01-13,IN,414,9
2022-01-13,JP,480,20
2022-01-13,TR,370,7
2022-01-13,US,925,59
2022-01-14,AU,219,13
2022-01-14,BR,342,13
2022-01-14,CA,312,4
2022-01-14,DE,351,13
2022-01-14,ES,323,9
2022-01-14,FR,363,21
2022-01-14,GB,1453,65
2022-01-14,IN,387,7
2022-01-14,JP,466,17
2022-01-14,TR,379,10
2022-01-14,US,863,39
2022-01-15,AU,139,3
2022-01-15,BR,236,2
2022-01-15,CA,218,0
2022-01-15,DE,247,6
2022-01-15,ES,226,3
2022-01-15,FR,298,5
2022-01-15,GB,1130,35
2022-01-15,IN,307,6
2022-01-15,JP,283,5
2022-01-15,TR,261,1
2022-01-15,US,658,20
2022-01-16,AU,141,10
2022-01-16,BR,235,0
2022-01-16,CA,208,4
2022-01-16,DE,245,7
2022-01-16,ES,223,3
2022-01-16,FR,260,3
2022-01-16,GB,1133,33
2022-01-16,IN,281,7
2022-01-16,JP,251,6
2022-01-16,TR,286,1
2022-01-16,US,601,14
2022-01-17,AU,234,19
2022-01-17,BR,358,16
2022-01-17,CA,263,15
2022-01-17,DE,348,24
2022-01-17,ES,296,9
2022-01-17,FR,352,20
2022-01-17,GB,1472,89
2022-01-17,IN,400,17
2022-01-17,JP,426,24
2022-01-17,TR,408,9
2022-01-17,US,802,52
2022-01-18,AU,246,19
2022-01-18,BR,392,14
2022-01-18,CA,321,16
2022-01-18,DE,353,17
2022-01-18,ES,334,11
2022-01-18,FR,331,13
2022-01-18,GB,1640,76
2022-01-18,IN,365,13
2022-01-18,JP,372,28
2022-01-18,TR,367,12
2022-01-18,US,879,53
2022-01-19,AU,284,12
2022-01-19,BR,420,12
2022-01-19,CA,380,11
2022-01-19,DE,477,27
2022-01-19,ES,373,8
2022-01-19,FR,427,12
2022-01-19,GB,1636,64
2022-01-19,IN,468,13
2022-01-19,JP,507,23
2022-01-19,TR,415,15
2022-01-19,US,1060,46
2022-01-20,AU,263,13
2022-01-20,BR,433,29
2022-01-20,CA,301,10
2022-01-20,DE,386,15
2022-01-20,ES,327,9
2022-01-20,FR,344,13
2022-01-20,GB,1516,63
2022-01-20,IN,404,13
2022-01-20,JP,476,26
2022-01-20,TR,404,8
2022-01-20,US,889,52
2022-01-21,AU,179,11
2022-01-21,BR,302,9
2022-01-21,CA,288,11
2022-01-21,DE,315,9
2022-01-21,ES,284,9
2022-01-21,FR,374,20
2022-01-21,GB,1356,58
2022-01-21,IN,334,6
2022-01-21,JP,393,18
2022-01-21,TR,343,7
2022-01-21,US,833,52
2022-01-22,AU,135,3
2022-01-22,BR,256,3
2022-01-22,CA,222,1
2022-01-22,DE,238,1
2022-01-22,ES,214,8
2022-01-22,FR,245,3
2022-01-22,GB,1043,21
2022-01-22,IN,306,1
2022-01-22,JP,255,9
2022-01-22,TR,260,1
2022-01-22,US,722,16
2022-01-23,AU,169,12
2022-01-23,BR,223,1
2022-01-23,CA,220,3
2022-01-23,DE,249,8
2022-01-23,ES,202,2
2022-01-23,FR,268,7
2022-01-23,GB,1045,32
2022-01-23,IN,309,4
2022-01-23,JP,274,7
2022-01-23,TR,264,0
2022-01-23,US,638,19
2022-01-24,AU,210,21
2022-01-24,BR,371,18
2022-01-24,CA,313,18
2022-01-24,DE,355,24
2022-01-24,ES,329,9
2022-01-24,FR,338,21
2022-01-24,GB,1498,78
2022-01-24,IN,384,9
2022-01-24,JP,385,39
2022-01-24,TR,341,13
2022-01-24,US,892,53
2022-01-25,AU,212,13
2022-01-25,BR,356,15
2022-01-25,CA,307,13
2022-01-25,DE,322,20
2022-01-25,ES,306,7
2022-01-25,FR,336,13
2022-01-25,GB,1635,74
2022-01-25,IN,388,24
2022-01-25,JP,487,26
2022-01-25,TR,362,11
2022-01-25,US,871,51
2022-01-26,AU,193,14
2022-01-26,BR,411,13
2022-01-26,CA,285,9
2022-01-26,DE,358,13
2022-01-26,ES,324,4
2022-01-26,FR,344,18
2022-01-26,GB,1509,72
2022-01-26,IN,367,12
2022-01-26,JP,429,26
2022-01-26,TR,345,9
2022-01-26,US,905,62
2022-01-27,AU,233,8
2022-01-27,BR,414,19
2022-01-27,CA,306,10
2022-01-27,DE,347,23
2022-01-27,ES,355,6
2022-01-27,FR,348,21
2022-01-27,GB,1498,77
2022-01-27,IN,401,22
2022-01-27,JP,416,30
2022-01-27,TR,356,15
2022-01-27,US,892,56
2022-01-28,AU,209,15
2022-01-28,BR,331,12
2022-01-28,CA,300,12
2022-01-28,DE,323,10
2022-01-28,ES,266,7
2022-01-28,FR,342,21
2022-01-28,GB,1445,66
2022-01-28,IN,375,18
2022-01-28,JP,385,26
2022-01-28,TR,295,8
2022-01-28,US,832,51
2022-01-29,AU,168,2
2022-01-29,BR,231,3
2022-01-29,CA,222,2
2022-01-29,DE,220,3
2022-01-29,ES,217,4
2022-01-29,FR,284,3
2022-01-29,GB,1207,23
2022-01-29,IN,352,3
2022-01-29,JP,258,5
2022-01-29,TR,248,2
2022-01-29,US,675,19
2022-01-30,AU,155,11
2022-01-30,BR,220,1
2022-01-30,CA,231,3
2022-01-30,DE,241,3
2022-01-30,ES,211,2
2022-01-30,FR,290,1
2022-01-30,GB,1154,31
2022-01-30,IN,345,3
2022-01-30,JP,259,3
2022-01-30,TR,269,0
2022-01-30,US,672,16
2022-01-31,AU,183,18
2022-01-31,BR,439,27
2022-01-31,CA,299,12
2022-01-31,DE,387,26
2022-01-31,ES,318,10
2022-01-31,FR,353,23
2022-01-31,GB,1683,117
2022-01-31,IN,427,26
2022-01-31,JP,413,48
2022-01-31,TR,420,15
2022-01-31,US,854,64
2022-02-01,AU,182,13
2022-02-01,BR,419,19
2022-02-01,CA,303,16
2022-02-01,DE,374,23
2022-02-01,ES,376,8
2022-02-01,FR,407,20
2022-02-01,GB,1680,82
2022-02-01,IN,424,27
2022-02-01,JP,440,24
2022-02-01,TR,356,13
2022-02-01,US,978,62
2022-02-02,AU,213,21
2022-02-02,BR,406,14
2022-02-02,CA,307,15
2022-02-02,DE,345,27
2022-02-02,ES,391,11
2022-02-02,FR,367,12
2022-02-02,GB,1675,78
2022-02-02,IN,430,10
2022-02-02,JP,388,24
2022-02-02,TR,423,8
2022-02-02,US,917,47
2022-02-03,AU,209,11
2022-02-03,BR,374,17
2022-02-03,CA,267,11
2022-02-03,DE,322,20
2022-02-03,ES,324,7
2022-02-03,FR,380,13
2022-02-03,GB,1600,79
2022-02-03,IN,419,6
2022-02-03,JP,391,36
2022-02-03,TR,403,9
2022-02-03,US,847,50
2022-02-04,AU,202,17
2022-02-04,BR,293,19
2022-02-04,CA,277,7
2022-02-04,DE,314,13
2022-02-04,ES,345,11
2022-02-04,FR,356,10
2022-02-04,GB,1467,76
2022-02-04,IN,375,18
2022-02-04,JP,324,31
2022-02-04,TR,373,9
2022-02-04,US,877,48
2022-02-05,AU,130,6
2022-02-05,BR,232,3
2022-02-05,CA,238,3
2022-02-05,DE,207,5
2022-02-05,ES,228,5
2022-02-05,FR,285,2
2022-02-05,GB,1253,33
2022-02-05,IN,307,5
2022-02-05,JP,254,6
2022-02-05,TR,282,2
2022-02-05,US,677,14
2022-02-06,AU,156,7
2022-02-06,BR,225,0
2022-02-06,CA,217,1
2022-02-06,DE,251,1
2022-02-06,ES,230,4
2022-02-06,FR,274,13
2022-02-06,GB,1142,34
2022-02-06,IN,286,6
2022-02-06,JP,325,5
2022-02-06,TR,282,0
2022-02-06,US,683,13
2022-02-07,AU,212,15
2022-02-07,BR,383,26
2022-02-07,CA,294,16
2022-02-07,DE,376,17
2022-02-07,ES,367,13
2022-02-07,FR,401,28
2022-02-07,GB,1546,93
2022-02-07,IN,397,3
2022-02-07,JP,382,57
2022-02-07,TR,436,14
2022-02-07,US,825,55
2022-02-08,AU,213,15
2022-02-08,BR,337,19
2022-02-08,CA,268,26
2022-02-08,DE,350,21
2022-02-08,ES,335,8
2022-02-08,FR,359,13
2022-02-08,GB,1652,87
2022-02-08,IN,425,36
2022-02-08,JP,423,35
2022-02-08,TR,387,14
2022-02-08,US,881,46
2022-02-09,AU,208,14
2022-02-09,BR,370,19
2022-02-09,CA,285,10
2022-02-09,DE,313,19
2022-02-09,ES,364,11
2022-02-09,FR,347,17
2022-02-09,GB,1615,75
2022-02-09,IN,394,8
2022-02-09,JP,375,27
2022-02-09,TR,414,17
2022-02-09,US,845,44
2022-02-10,AU,217,14
2022-02-10,BR,338,13
2022-02-10,CA,233,12
2022-02-10,DE,293,15
2022-02-10,ES,323,8
2022-02-10,FR,387,8
2022-02-10,GB,1508,72
2022-02-10,IN,376,16
2022-02-10,JP,392,26
2022-02-10,TR,415,3
2022-02-10,US,839,59
2022-02-11,AU,155,16
2022-02-11,BR,310,14
2022-02-11,CA,216,7
2022-02-11,DE,293,18
2022-02-11,ES,320,6
2022-02-11,FR,327,13
2022-02-11,GB,1419,51
2022-02-11,IN,378,9
2022-02-11,JP,395,8
2022-02-11,TR,301,16
2022-02-11,US,791,42
2022-02-12,AU,115,4
2022-02-12,BR,213,7
2022-02-12,CA,203,4
2022-02-12,DE,203,2
2022-02-12,ES,246,5
2022-02-12,FR,255,2
2022-02-12,GB,1163,13
2022-02-12,IN,325,5
2022-02-12,JP,311,1
2022-02-12,TR,264,1
2022-02-12,US,644,13
2022-02-13,AU,152,11
2022-02-13,BR,217,3
2022-02-13,CA,214,4
2022-02-13,DE,245,4
2022-02-13,ES,256,4
2022-02-13,FR,290,3
2022-02-13,GB,1129,24
2022-02-13,IN,283,5
2022-02-13,JP,320,4
2022-02-13,TR,308,3
2022-02-13,US,609,15
2022-02-14,AU,209,18
2022-02-14,BR,377,15
2022-02-14,CA,269,19
2022-02-14,DE,338,32
2022-02-14,ES,291,9
2022-02-14,FR,329,11
2022-02-14,GB,1452,80
2022-02-14,IN,332,25
2022-02-14,JP,401,61
2022-02-14,TR,408,18
2022-02-14,US,763,49
2022-02-15,AU,193,9
2022-02-15,BR,371,20
2022-02-15,CA,269,15
2022-02-15,DE,333,24
2022-02-15,ES,325,11
2022-02-15,FR,362,12
2022-02-15,GB,1544,75
2022-02-15,IN,359,12
2022-02-15,JP,408,34
2022-02-15,TR,366,5
2022-02-15,US,781,45
2022-02-16,AU,181,9
2022-02-16,BR,365,21
2022-02-16,CA,275,9
2022-02-16,DE,347,13
2022-02-16,ES,325,4
2022-02-16,FR,395,16
2022-02-16,GB,1624,58
2022-02-16,IN,406,15
2022-02-16,JP,407,35
2022-02-16,TR,372,8
2022-02-16,US,834,45
2022-02-17,AU,201,26
2022-02-17,BR,369,13
2022-02-17,CA,263,14
2022-02-17,DE,333,15
2022-02-17,ES,349,5
2022-02-17,FR,363,8
2022-02-17,GB,1449,58
2022-02-17,IN,381,18
2022-02-17,JP,366,23
2022-02-17,TR,384,10
2022-02-17,US,786,42
2022-02-18,AU,158,14
2022-02-18,BR,352,13
2022-02-18,CA,243,16
2022-02-18,DE,263,15
2022-02-18,ES,269,8
2022-02-18,FR,345,9
2022-02-18,GB,1407,64
2022-02-18,IN,369,12
2022-02-18,JP,372,23
2022-02-18,TR,321,15
2022-02-18,US,745,44
2022-02-19,AU,135,2
2022-02-19,BR,190,5
2022-02-19,CA,198,4
2022-02-19,DE,208,5
2022-02-19,ES,214,5
2022-02-19,FR,279,2
2022-02-19,GB,1174,20
2022-02-19,IN,308,7
2022-02-19,JP,258,3
2022-02-19,TR,241,3
2022-02-19,US,631,24
2022-02-20,AU,155,7
2022-02-20,BR,174,2
2022-02-20,CA,215,2
2022-02-20,DE,252,4
2022-02-20,ES,237,3
2022-02-20,FR,264,6
2022-02-20,GB,1126,23
2022-02-20,IN,290,4
2022-02-20,JP,292,2
2022-02-20,TR,273,0
2022-02-20,US,609,14
2022-02-21,AU,204,14
2022-02-21,BR,330,24
2022-02-21,CA,269,3
2022-02-21,DE,350,15
2022-02-21,ES,322,12
2022-02-21,FR,350,7
2022-02-21,GB,1549,84
2022-02-21,IN,361,15
2022-02-21,JP,378,46
2022-02-21,TR,381,15
2022-02-21,US,790,41
2022-02-22,AU,225,15
2022-02-22,BR,322,22
2022-02-22,CA,293,19
2022-02-22,DE,415,24
2022-02-22,ES,326,11
2022-02-22,FR,403,22
2022-02-22,GB,1643,72
2022-02-22,IN,369,16
2022-02-22,JP,419,40
2022-02-22,TR,370,12
2022-02-22,US,848,67
2022-02-23,AU,193,13
2022-02-23,BR,346,14
2022-02-23,CA,282,7
2022-02-23,DE,358,14
2022-02-23,ES,344,4
2022-02-23,FR,390,13
2022-02-23,GB,1511,72
2022-02-23,IN,416,9
2022-02-23,JP,349,11
2022-02-23,TR,349,16
2022-02-23,US,863,48
2022-02-24,AU,185,14
2022-02-24,BR,315,21
2022-02-24,CA,317,23
2022-02-24,DE,413,16
2022-02-24,ES,341,7
2022-02-24,FR,453,14
2022-02-24,GB,1907,75
2022-02-24,IN,402,15
2022-02-24,JP,560,38
2022-02-24,TR,391,12
2022-02-24,US,1126,47
2022-02-25,AU,216,13
2022-02-25,BR,259,21
2022-02-25,CA,309,19
2022-02-25,DE,420,22
2022-02-25,ES,323,9
2022-02-25,FR,431,13
2022-02-25,GB,1903,89
2022-02-25,IN,395,20
2022-02-25,JP,533,33
2022-02-25,TR,391,13
2022-02-25,US,1167,64
2022-02-26,AU,167,3
2022-02-26,BR,199,4
2022-02-26,CA,268,5
2022-02-26,DE,368,11
2022-02-26,ES,284,4
2022-02-26,FR,330,7
2022-02-26,GB,1730,37
2022-02-26,IN,318,6
2022-02-26,JP,467,6
2022-02-26,TR,298,3
2022-02-26,US,1097,23
2022-02-27,AU,162,10
2022-02-27,BR,182,3
2022-02-27,CA,274,1
2022-02-27,DE,457,6
2022-02-27,ES,279,3
2022-02-27,FR,321,8
2022-02-27,GB,1646,36
2022-02-27,IN,302,0
2022-02-27,JP,549,7
2022-02-27,TR,375,0
2022-02-27,US,1019,37
2022-02-28,AU,215,13
2022-02-28,BR,232,3
2022-02-28,CA,338,29
2022-02-28,DE,648,22
2022-02-28,ES,381,14
2022-02-28,FR,414,18
2022-02-28,GB,2417,111
2022-02-28,IN,444,19
2022-02-28,JP,660,44
2022-02-28,TR,526,25
2022-02-28,US,1456,104
2022-03-01,AU,226,20
2022-03-01,BR,257,2
2022-03-01,CA,382,18
2022-03-01,DE,677,30
2022-03-01,ES,398,4
2022-03-01,FR,471,13
2022-03-01,GB,2460,96
2022-03-01,IN,442,7
2022-03-01,JP,573,29
2022-03-01,TR,460,13
2022-03-01,US,1504,70
2022-03-02,AU,215,15
2022-03-02,BR,314,26
2022-03-02,CA,350,15
2022-03-02,DE,571,41
2022-03-02,ES,420,12
2022-03-02,FR,469,18
2022-03-02,GB,2362,110
2022-03-02,IN,441,23
2022-03-02,JP,538,39
2022-03-02,TR,472,13
2022-03-02,US,1407,112
2022-03-03,AU,220,18
2022-03-03,BR,334,27
2022-03-03,CA,321,18
2022-03-03,DE,542,26
2022-03-03,ES,442,14
2022-03-03,FR,470,17
2022-03-03,GB,2218,94
2022-03-03,IN,406,12
2022-03-03,JP,467,24
2022-03-03,TR,426,18
2022-03-03,US,1359,82
2022-03-04,AU,187,18
2022-03-04,BR,313,23
2022-03-04,CA,337,16
2022-03-04,DE,478,28
2022-03-04,ES,364,12
2022-03-04,FR,372,9
2022-03-04,GB,2058,82
2022-03-04,IN,402,8
2022-03-04,JP,461,30
2022-03-04,TR,402,9
2022-03-04,US,1418,95
2022-03-05,AU,182,3
2022-03-05,BR,243,1
2022-03-05,CA,291,4
2022-03-05,DE,347,4
2022-03-05,ES,296,4
2022-03-05,FR,362,2
2022-03-05,GB,1786,29
2022-03-05,IN,368,1
2022-03-05,JP,347,4
2022-03-05,TR,305,1
2022-03-05,US,1241,37
2022-03-06,AU,198,16
2022-03-06,BR,204,2
2022-03-06,CA,255,1
2022-03-06,DE,417,4
2022-03-06,ES,283,1
2022-03-06,FR,340,0
2022-03-06,GB,1975,21
2022-03-06,IN,326,2
2022-03-06,JP,360,8
2022-03-06,TR,364,0
2022-03-06,US,1161,11
2022-03-07,AU,252,19
2022-03-07,BR,353,23
2022-03-07,CA,361,29
2022-03-07,DE,517,32
2022-03-07,ES,449,16
2022-03-07,FR,452,22
2022-03-07,GB,2524,122
2022-03-07,IN,496,39
2022-03-07,JP,496,55
2022-03-07,TR,488,20
2022-03-07,US,1446,103
2022-03-08,AU,233,20
2022-03-08,BR,274,9
2022-03-08,CA,406,18
2022-03-08,DE,456,16
2022-03-08,ES,346,17
2022-03-08,FR,458,25
2022-03-08,GB,2308,102
2022-03-08,IN,426,11
2022-03-08,JP,523,32
2022-03-08,TR,426,16
2022-03-08,US,1403,85
2022-03-09,AU,236,22
2022-03-09,BR,301,8
2022-03-09,CA,374,15
2022-03-09,DE,478,25
2022-03-09,ES,336,10
2022-03-09,FR,403,19
2022-03-09,GB,2248,77
2022-03-09,IN,393,12
2022-03-09,JP,492,32
2022-03-09,TR,447,14
2022-03-09,US,1383,76
2022-03-10,AU,268,19
2022-03-10,BR,315,17
2022-03-10,CA,355,24
2022-03-10,DE,455,16
2022-03-10,ES,384,6
2022-03-10,FR,425,13
2022-03-10,GB,2573,88
2022-03-10,IN,424,9
2022-03-10,JP,431,33
2022-03-10,TR,494,11
2022-03-10,US,1398,76
2022-03-11,AU,228,18
2022-03-11,BR,287,16
2022-03-11,CA,379,15
2022-03-11,DE,377,11
2022-03-11,ES,345,8
2022-03-11,FR,421,16
2022-03-11,GB,2399,88
2022-03-11,IN,453,12
2022-03-11,JP,376,30
2022-03-11,TR,441,8
2022-03-11,US,1430,83
2022-03-12,AU,168,5
2022-03-12,BR,205,3
2022-03-12,CA,328,8
2022-03-12,DE,324,3
2022-03-12,ES,272,2
2022-03-12,FR,344,6
2022-03-12,GB,1800,36
2022-03-12,IN,375,4
2022-03-12,JP,351,5
2022-03-12,TR,352,0
2022-03-12,US,1188,26
2022-03-13,AU,174,7
2022-03-13,BR,175,5
2022-03-13,CA,298,4
2022-03-13,DE,346,6
2022-03-13,ES,238,3
2022-03-13,FR,352,5
2022-03-13,GB,1711,27
2022-03-13,IN,322,3
2022-03-13,JP,362,0
2022-03-13,TR,359,0
2022-03-13,US,981,26
2022-03-14,AU,217,14
2022-03-14,BR,289,17
2022-03-14,CA,356,23
2022-03-14,DE,485,22
2022-03-14,ES,377,13
2022-03-14,FR,379,18
2022-03-14,GB,2244,87
2022-03-14,IN,374,16
2022-03-14,JP,425,44
2022-03-14,TR,480,14
2022-03-14,US,1273,88
2022-03-15,AU,211,12
2022-03-15,BR,319,18
2022-03-15,CA,388,19
2022-03-15,DE,476,12
2022-03-15,ES,382,9
2022-03-15,FR,425,20
2022-03-15,GB,2267,85
2022-03-15,IN,421,18
2022-03-15,JP,448,31
2022-03-15,TR,421,13
2022-03-15,US,1320,69
2022-03-16,AU,231,14
2022-03-16,BR,329,21
2022-03-16,CA,362,27
2022-03-16,DE,459,13
2022-03-16,ES,370,7
2022-03-16,FR,424,21
2022-03-16,GB,2237,91
2022-03-16,IN,377,6
2022-03-16,JP,357,24
2022-03-16,TR,432,9
2022-03-16,US,1251,73
2022-03-17,AU,193,14
2022-03-17,BR,309,18
2022-03-17,CA,353,11
2022-03-17,DE,452,20
2022-03-17,ES,344,8
2022-03-17,FR,356,17
2022-03-17,GB,2038,86
2022-03-17,IN,366,17
2022-03-17,JP,400,29
2022-03-17,TR,406,11
2022-03-17,US,1137,64
2022-03-18,AU,175,9
2022-03-18,BR,262,10
2022-03-18,CA,259,15
2022-03-18,DE,377,19
2022-03-18,ES,295,13
2022-03-18,FR,326,14
2022-03-18,GB,1749,58
2022-03-18,IN,328,5
2022-03-18,JP,370,29
2022-03-18,TR,415,6
2022-03-18,US,1055,59
2022-03-19,AU,149,3
2022-03-19,BR,229,2
2022-03-19,CA,249,3
2022-03-19,DE,225,3
2022-03-19,ES,218,1
2022-03-19,FR,310,4
2022-03-19,GB,1532,26
2022-03-19,IN,303,4
2022-03-19,JP,251,8
2022-03-19,TR,315,1
2022-03-19,US,911,26
2022-03-20,AU,187,11
2022-03-20,BR,244,3
2022-03-20,CA,243,1
2022-03-20,DE,299,8
2022-03-20,ES,208,4
2022-03-20,FR,257,5
2022-03-20,GB,1437,35
2022-03-20,IN,247,5
2022-03-20,JP,283,6
2022-03-20,TR,319,0
2022-03-20,US,815,27
2022-03-21,AU,249,15
2022-03-21,BR,366,16
2022-03-21,CA,374,24
2022-03-21,DE,473,19
2022-03-21,ES,334,11
2022-03-21,FR,383,23
2022-03-21,GB,1985,91
2022-03-21,IN,437,11
2022-03-21,JP,367,18
2022-03-21,TR,472,16
2022-03-21,US,1179,71
2022-03-22,AU,257,10
2022-03-22,BR,363,17
2022-03-22,CA,331,16
2022-03-22,DE,426,18
2022-03-22,ES,392,5
2022-03-22,FR,410,9
2022-03-22,GB,1961,85
2022-03-22,IN,425,10
2022-03-22,JP,578,58
2022-03-22,TR,459,12
2022-03-22,US,1145,65
2022-03-23,AU,405,21
2022-03-23,BR,668,18
2022-03-23,CA,818,11
2022-03-23,DE,1453,14
2022-03-23,ES,528,10
2022-03-23,FR,587,9
2022-03-23,GB,2387,79
2022-03-23,IN,629,10
2022-03-23,JP,987,39
