date,unit,y,treat
2010-02-01,watches,-0.305937230795307,0
2010-03-01,watches,0.528070293405317,0
2010-04-01,watches,-0.278775171361756,0
2010-05-01,watches,0.0451918564732128,0
2010-06-01,watches,-0.0275276114822942,0
2010-07-01,watches,0.141881355950019,0
2010-08-01,watches,-0.0953840613792445,0
2010-09-01,watches,0.222104871454269,0
2010-10-01,watches,0.121036091473743,0
2010-11-01,watches,0.176266102849727,0
2010-12-01,watches,-0.0470713236062732,0
2011-01-01,watches,-0.206153015209941,0
2011-02-01,watches,0.0964070196871765,0
2011-03-01,watches,0.259574449553351,0
2011-04-01,watches,-0.0190068944322195,0
2011-05-01,watches,0.0588401819169051,0
2011-06-01,watches,0.0566363593186825,0
2011-07-01,watches,0.160762563765596,0
2011-08-01,watches,-0.338750918347617,0
2011-09-01,watches,0.159961595000993,0
2011-10-01,watches,0.259070707123898,0
2011-11-01,watches,-0.117565293833846,0
2011-12-01,watches,0.0823154967186772,0
2012-01-01,watches,-0.577281634947364,0
2012-02-01,watches,0.288711777238867,0
2012-03-01,watches,0.190275763964713,0
2012-04-01,watches,-0.041595753098302,0
2012-05-01,watches,0.0796510645083091,0
2012-06-01,watches,-0.15795399360869,0
2012-07-01,watches,-0.0904240952266497,0
2012-08-01,watches,-0.0689114062860336,0
2012-09-01,watches,0.14127607840031,0
2012-10-01,watches,0.0770310379760035,0
2012-11-01,watches,-0.0052842900945213,0
2012-12-01,watches,-0.137224659517334,0
2013-01-01,watches,-0.420459664753795,1
2013-02-01,watches,-0.174223378249776,1
2013-03-01,watches,0.16987442256751,1
2013-04-01,watches,-0.0021465882544791,1
2013-05-01,watches,0.179710988417274,1
2013-06-01,watches,-0.0536651981651977,1
2013-07-01,watches,-0.015836919958244,1
2013-08-01,watches,-0.1560966417239,1
2013-09-01,watches,-0.135808687399639,1
2013-10-01,watches,0.296597809562703,1
2013-11-01,watches,-0.0601828325392892,1
2013-12-01,watches,0.243099351553844,1
2014-01-01,watches,-0.54100253886092,1
2014-02-01,watches,0.220795621121545,1
2014-03-01,watches,-0.188211816799316,1
2014-04-01,watches,0.0821694100570021,1
2014-05-01,watches,0.0676487367311682,1
2014-06-01,watches,-0.188220039487153,1
2014-07-01,watches,0.554831523234403,1
2014-08-01,watches,-0.475112412535834,1
2014-09-01,watches,0.0345306483933423,1
2014-10-01,watches,0.125050584118372,1
2014-11-01,watches,-0.142333072745724,1
2014-12-01,watches,0.152913299664207,1
2015-01-01,watches,-0.123155198548413,1
2015-02-01,watches,-0.122655433070934,1
2015-03-01,watches,0.218726257335186,1
2015-04-01,watches,0.27011152061504,1
2015-05-01,watches,-0.261103978999373,1
2015-06-01,watches,-0.0802683581487451,1
2015-07-01,watches,0.0892445986215429,1
2015-08-01,watches,-0.295905557255817,1
2015-09-01,watches,-0.0311245625711067,1
2015-10-01,watches,0.465825269856595,1
2015-11-01,watches,0.0500144261650313,1
2015-12-01,watches,-0.332924519565692,1
2010-02-01,C1,-0.0822540559547642,0
2010-03-01,C1,0.115828421921453,0
2010-04-01,C1,-0.601273952964437,0
2010-05-01,C1,-0.488309806314766,0
2010-06-01,C1,-0.0924643656162267,0
2010-07-01,C1,0.336530155113717,0
2010-08-01,C1,1.13685674166121,0
2010-09-01,C1,-0.974441083562894,0
2010-10-01,C1,0.847374669100434,0
2010-11-01,C1,-0.213670854379839,0
2010-12-01,C1,0.46354993423428,0
2011-01-01,C1,-1.26594014489857,0
2011-02-01,C1,0.783760037384352,0
2011-03-01,C1,0.0042530716506186,0
2011-04-01,C1,0.608667432361444,0
2011-05-01,C1,-0.652452664861412,0
2011-06-01,C1,0.45029347411162,0
2011-07-01,C1,-0.0563895849136156,0
2011-08-01,C1,-0.110787423215463,0
2011-09-01,C1,0.550180944553245,0
2011-10-01,C1,-0.871712458683561,0
2011-11-01,C1,0.437012626443519,0
2011-12-01,C1,0.555020131985701,0
2012-01-01,C1,-0.776227380755579,0
2012-02-01,C1,0.329079451783823,0
2012-03-01,C1,-0.0662774560341819,0
2012-04-01,C1,0.137265198280695,0
2012-05-01,C1,0.0568567664860979,0
2012-06-01,C1,-0.0488616586823301,0
2012-07-01,C1,-0.50617434138922,0
2012-08-01,C1,0.929791312898005,0
2012-09-01,C1,-0.489130976167929,0
2012-10-01,C1,-0.384991885896111,0
2012-11-01,C1,0.655569166445166,0
2012-12-01,C1,0.138057870700634,0
2013-01-01,C1,-0.33124383522622,0
2013-02-01,C1,0.0949558220194264,0
2013-03-01,C1,-0.405213987961637,0
2013-04-01,C1,-0.383404520122419,0
2013-05-01,C1,0.056828773526945,0
2013-06-01,C1,0.907630315230788,0
2013-07-01,C1,-0.531272091680645,0
2013-08-01,C1,-0.416454342589647,0
2013-09-01,C1,0.819368797241595,0
2013-10-01,C1,-0.359166741642394,0
2013-11-01,C1,0.561719515689825,0
2013-12-01,C1,-0.341495675952349,0
2014-01-01,C1,0.369744320465648,0
2014-02-01,C1,-0.916322923897453,0
2014-03-01,C1,0.151312894559291,0
2014-04-01,C1,1.01972984653559,0
2014-05-01,C1,-0.511286727590281,0
2014-06-01,C1,0.167022510755689,0
2014-07-01,C1,-0.441832858356396,0
2014-08-01,C1,1.39444822486885,0
2014-09-01,C1,-0.337533754577616,0
2014-10-01,C1,-0.607908861338084,0
2014-11-01,C1,-0.398821028654621,0
2014-12-01,C1,0.977588223656546,0
2015-01-01,C1,-0.333115724830817,0
2015-02-01,C1,-1.9471154209781,0
2015-03-01,C1,0.565861877110403,0
2015-04-01,C1,0.424197782058153,0
2015-05-01,C1,0.0771379499516374,0
2015-06-01,C1,0.273223622648964,0
2015-07-01,C1,0.0190537548322598,0
2015-08-01,C1,0.611617569545309,0
2015-09-01,C1,-0.792391709875233,0
2015-10-01,C1,-0.116243452177705,0
2015-11-01,C1,0.130882033409726,0
2015-12-01,C1,-0.290753892680134,0
2010-02-01,C2,-0.299010390128016,0
2010-03-01,C2,0.257312000691578,0
2010-04-01,C2,0.156731428683021,0
2010-05-01,C2,0.0767286939681782,0
2010-06-01,C2,0.183277947171827,0
2010-07-01,C2,0.0217618504986268,0
2010-08-01,C2,-0.0898088456155577,0
2010-09-01,C2,0.211876408862571,0
2010-10-01,C2,0.23150517564637,0
2010-11-01,C2,-0.12853134805211,0
2010-12-01,C2,0.0939702703376026,0
2011-01-01,C2,-0.0506749200250036,0
2011-02-01,C2,-0.211477409682669,0
2011-03-01,C2,0.167687938236661,0
2011-04-01,C2,-0.212895449052947,0
2011-05-01,C2,0.167441604198993,0
2011-06-01,C2,0.0830283489316743,0
2011-07-01,C2,0.225774578841383,0
2011-08-01,C2,0.106350172193348,0
2011-09-01,C2,0.112473108228829,0
2011-10-01,C2,0.111585146286215,0
2011-11-01,C2,0.0466311294697066,0
2011-12-01,C2,-0.329996712801337,0
2012-01-01,C2,-0.0133850516133593,0
2012-02-01,C2,-0.020195469783113,0
2012-03-01,C2,0.128872876571597,0
2012-04-01,C2,-0.0178346760140426,0
2012-05-01,C2,0.103426873953087,0
2012-06-01,C2,-0.136708295295391,0
2012-07-01,C2,0.118912389480835,0
2012-08-01,C2,0.0120588411855422,0
2012-09-01,C2,0.0758420789326664,0
2012-10-01,C2,0.113712752318641,0
2012-11-01,C2,0.0830793300163322,0
2012-12-01,C2,-0.0138395566856326,0
2013-01-01,C2,-0.0881583378806257,0
2013-02-01,C2,0.111086330885798,0
2013-03-01,C2,-0.020358187443704,0
2013-04-01,C2,-0.0674814535912374,0
2013-05-01,C2,-0.0539025067190355,0
2013-06-01,C2,0.0397128514495844,0
2013-07-01,C2,0.040198087637763,0
2013-08-01,C2,-0.0925266330422394,0
2013-09-01,C2,0.10403582869082,0
2013-10-01,C2,0.0320013071571585,0
2013-11-01,C2,0.0911535286209091,0
2013-12-01,C2,-0.139210734184489,0
2014-01-01,C2,0.0844483306126884,0
2014-02-01,C2,-0.0481253701456765,0
2014-03-01,C2,-0.0445998497899103,0
2014-04-01,C2,0.0692197267769838,0
2014-05-01,C2,-0.0616179353851196,0
2014-06-01,C2,0.0021257060985231,0
