state,year,violent,murder,rape,robbery,assault,property,burglary,larceny,motor,pop,prison_incarceration_rate,p0to17,p18to24,p25to44,p45to64,p65,black,urate,poverty,income
AK,2005,632,4.8,81.1,81,465.4,3615,622.8,2601,391,663253,725.5149996,0.2837653561,0.1162943129,0.2699932646,0.2636089811,0.06633808526,0.03657439566,6.9,0.112,36911
AL,2005,433,8.2,34.4,141.7,248.3,3900,955.8,2656,289,4548327,613.1485269,0.2390958548,0.0992507802,0.2751636313,0.2540284716,0.1324612621,0.2638538087,3.8,0.17,29681
AR,2005,528,6.8,43.3,91.2,387.2,4068,1085.1,2720,262,2775708,486.7586936,0.2431034768,0.1005464253,0.2701178128,0.247898821,0.1383334641,0.1572327406,5.1,0.172,27858
AZ,2005,512,7.5,33.7,144.1,326.7,4827,946.2,2958,922,5953007,562.2536644,0.2660983834,0.09870604106,0.2828545894,0.2246858716,0.1276551144,0.03635601685,4.7,0.142,32223
CA,2005,526,6.9,26,176,317.1,3321,692.9,1915,712,36154147,472.0786249,0.2685105316,0.09924458682,0.2954417295,0.2297357807,0.1070673713,0.06735708232,5.4,0.133,38731
CO,2005,397,3.7,43.4,84.7,264.9,4041,745.1,2736,560,4663295,460.1038536,0.2530504202,0.09932506312,0.3075167352,0.2404125288,0.09969525272,0.0409191334,5.1,0.111,38795
CT,2005,273,3,20.3,112.3,136.9,2579,435.5,1840,303,3500701,555.3744807,0.2378733196,0.08993911341,0.2722931991,0.2648203272,0.1350740407,0.100877789,4.9,0.083,48134
DC,2005,1380,33.5,28.5,635.7,682.2,4490,614.6,2549,1326,582049,,0.204964025,0.09451047281,0.3456471234,0.2327976589,0.1220807199,0.5699491936,6.5,0.19,56362
DE,2005,633,4.4,44.8,155.2,429.1,3118,690.4,2148,279,841741,824.9568454,0.2322150881,0.09854965597,0.2835663241,0.2526389291,0.1330300027,0.2066509074,4,0.104,36771
FL,2005,709,5,37.1,169.6,497.2,4013,927.4,2662,424,17768191,505.2174417,0.228662625,0.08936307776,0.2645894314,0.2491340012,0.1682508646,0.1573642721,3.8,0.128,35489
GA,2005,446,6.2,23.5,153.7,262.5,4145,924.9,2733,487,9132553,533.7937814,0.2604246027,0.1014132039,0.3116840245,0.2305382727,0.09593989623,0.2975770057,5.2,0.144,32775
HI,2005,256,1.9,26.9,78.6,148,4800,769,3313,717,1273278,482.6911327,0.2351422607,0.1004019781,0.2641096178,0.2634744204,0.136871723,0.02320744922,2.8,0.098,35067
IA,2005,293,1.3,28.6,38.9,224.5,2845,611.9,2048,186,2965524,294.619096,0.2261380546,0.1046321824,0.2662626663,0.2562472736,0.1467198232,0.02330856876,4.3,0.109,32204
ID,2005,257,2.4,40.4,18.6,195.3,2697,564.3,1931,202,1429367,476.9943618,0.2618298561,0.1115691318,0.2700833254,0.2418179045,0.1146997822,0.005935220587,3.7,0.139,29544
IL,2005,552,6,33.8,182.2,330.3,3092,608.2,2175,308,12765427,351.8801212,0.2539328364,0.0980793397,0.2879179019,0.240189837,0.119880085,0.1510225629,5.8,0.12,37437
IN,2005,324,5.7,29.6,108.7,180,3460,698.3,2414,347,6266019,390.2796975,0.2555570631,0.09912144073,0.2762715975,0.2450847604,0.1239651382,0.08848475591,5.4,0.122,31141
KS,2005,389,3.7,40,65.3,280.4,3806,692.4,2774,340,2748172,329.9647911,0.2456691783,0.1083351216,0.27164081,0.2442835923,0.1300712977,0.05884241081,5.1,0.117,33102
KY,2005,267,4.6,34.1,88.4,139.8,2531,634.1,1686,211,4172608,471.2160836,0.2348585867,0.09767683702,0.2847883203,0.2566966302,0.1259796257,0.07505789637,6,0.168,28486
LA,2005,597,10,31.5,118.4,436.6,3696,873.7,2504,319,4507331,800.5402754,0.2537014538,0.1100307099,0.2733648744,0.2453908677,0.1175120943,0.331006661,6.7,0.198,29567
MA,2005,461,2.8,27.2,121.8,309,2358,539.8,1524,294,6433367,166.3359171,0.2278628787,0.09240799326,0.2936969027,0.2527519858,0.1332802396,0.06859034657,4.8,0.103,44097
MD,2005,704,9.9,22.6,257.2,414.6,3551,642.7,2299,610,5589599,406.773366,0.2505113931,0.09500448897,0.2827236256,0.2566684665,0.1150920258,0.2928932781,4.1,0.082,42405
ME,2005,112,1.4,24.7,24.5,61.8,2419,479.7,1837,102,1318220,153.4645203,0.2098637538,0.09527697587,0.2606573566,0.2884105622,0.1457913515,0.0075262674,4.9,0.126,31834
MI,2005,554,6.2,51.5,132.1,363.9,3098,698.2,1922,478,10100833,490.5140002,0.2494129945,0.09779574068,0.2750348291,0.2534098881,0.1243465476,0.1434028334,6.8,0.132,32409
MN,2005,297,2.2,44,92.1,158.9,3088,579.6,2230,279,5126739,181.0312559,0.2395531171,0.1039047116,0.2854185406,0.2497004071,0.1214232235,0.042560599,4.2,0.092,37892
MO,2005,526,6.9,28,124.1,366.6,3929,738.6,2747,443,5797703,531.6415829,0.2376135069,0.1016614629,0.2751552934,0.2522715165,0.1332982203,0.1150724703,5.4,0.133,32253
MS,2005,280,7.4,39.4,82.7,150.1,3274,923.7,2093,258,2908496,705.3473685,0.2562552035,0.1079994851,0.2734313379,0.2396223599,0.1226916135,0.3694524095,7.8,0.213,26755
MT,2005,282,1.9,32.2,18.9,228.7,3146,389.6,2546,211,934737,375.3997114,0.2190879263,0.106681843,0.2496799085,0.2868586147,0.1376917075,0.003807966484,3.6,0.144,29975
NC,2005,469,6.7,26.5,145.7,289.7,4080,1202.6,2549,328,8672459,419.3159057,0.2465716146,0.09553839453,0.2944339223,0.242061548,0.1213945206,0.2175871639,5.3,0.151,31905
ND,2005,111,1.9,28.4,8.5,72.5,2025,321.9,1534,169,634605,218.2459955,0.2144226979,0.1174850042,0.2604350401,0.2605654044,0.1470918535,0.007669509029,3.4,0.112,31795
NE,2005,287,2.5,33,59.2,192.6,3432,535.1,2580,317,1758163,253.3894753,0.2454128897,0.1083792409,0.2691622124,0.2442552737,0.1327903834,0.04298303319,3.9,0.109,34098
NH,2005,135,1.5,31.1,27.9,74.3,1839,320.8,1415,103,1306819,193.5998788,0.2314235767,0.09408980564,0.2741927111,0.2757805701,0.1245133365,0.009672198727,3.6,0.075,38528
NJ,2005,355,4.8,13.9,151.8,184.7,2337,447.9,1571,318,8703150,314.3574453,0.2479719658,0.08682180679,0.2822030472,0.2534590513,0.1295441289,0.1447409791,4.5,0.087,43880
NM,2005,646,7.5,54.1,98.3,486.5,4132,1087.2,2633,412,1925985,341.1760735,0.25383015,0.1084763201,0.2602484775,0.255632177,0.1218128754,0.02422857688,5.2,0.185,28641
NV,2005,608,8.5,42.1,194.9,361.9,4246,973.4,2156,1116,2412301,488.4133448,0.257237949,0.09069586099,0.3009942409,0.2379631167,0.1131088323,0.07737719826,4.5,0.111,37760
NY,2005,444,4.5,18.8,182.1,238.9,2102,352.2,1565,185,19315721,324.8286719,0.2360930332,0.0944552557,0.2886676088,0.2501628439,0.1306212584,0.1738091566,5,0.138,41108
OH,2005,350,5.1,40.7,162.8,141.5,3668,873.4,2433,362,11470685,399.7494483,0.240675322,0.09766276153,0.2716861121,0.2565647439,0.1334110604,0.1193650547,5.9,0.13,32445
OK,2005,509,5.3,41.8,91.2,371,4047,1007.3,2648,392,3543442,700.6182125,0.2405197013,0.1077498588,0.271262251,0.2482857388,0.1321824502,0.07743206937,4.5,0.165,30333
OR,2005,287,2.2,34.8,68.1,181.9,4402,759.1,3114,529,3638871,368.5483767,0.2334333776,0.09689524138,0.2822502593,0.2583635077,0.1290576141,0.01801208221,6.2,0.141,32557
PA,2005,425,6.1,28.9,154.9,235.4,2422,452.5,1732,237,12405348,341.6268532,0.2266151263,0.09496319114,0.2626116527,0.2635247943,0.1522852355,0.106056776,5,0.119,34719
RI,2005,252,3.2,30.1,72.3,146.9,2728,495.4,1823,410,1073579,340.356881,0.227984118,0.1000196062,0.2801952073,0.2526294173,0.1391716511,0.06177632368,5.1,0.123,36117
