date,cases
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,0.0
2019-01-05,0.0
2019-01-06,0.0
2019-01-07,0.0
2019-01-08,0.0
2019-01-09,0.0
2019-01-10,0.0
2019-01-11,0.0
2019-01-12,0.0
2019-01-13,0.0
2019-01-14,0.0
2019-01-15,0.0
2019-01-16,0.0
2019-01-17,0.0
2019-01-18,0.0
2019-01-19,1.0
2019-01-20,0.0
2019-01-21,1.0
2019-01-22,0.0
2019-01-23,0.0
2019-01-24,0.0
2019-01-25,0.0
2019-01-26,0.0
2019-01-27,0.0
2019-01-28,1.0
2019-01-29,0.0
2019-01-30,0.0
2019-01-31,0.0
2019-02-01,1.0
2019-02-02,1.0
2019-02-03,0.0
2019-02-04,0.0
2019-02-05,1.0
2019-02-06,0.0
2019-02-07,1.0
2019-02-08,0.0
2019-02-09,0.0
2019-02-10,1.0
2019-02-11,2.0
2019-02-12,1.0
2019-02-13,0.0
2019-02-14,1.0
2019-02-15,0.0
2019-02-16,1.0
2019-02-17,0.0
2019-02-18,2.0
2019-02-19,1.0
2019-02-20,1.0
2019-02-21,1.0
2019-02-22,0.0
2019-02-23,1.0
2019-02-24,0.0
2019-02-25,3.0
2019-02-26,1.0
2019-02-27,0.0
2019-02-28,0.0
2019-03-01,3.0
2019-03-02,2.0
2019-03-03,1.0
2019-03-04,1.0
2019-03-05,1.0
2019-03-06,1.0
2019-03-07,1.0
2019-03-08,1.0
2019-03-09,0.0
2019-03-10,2.0
2019-03-11,3.0
2019-03-12,2.0
2019-03-13,0.0
2019-03-14,1.0
2019-03-15,1.0
2019-03-16,0.0
2019-03-17,1.0
2019-03-18,2.0
2019-03-19,0.0
2019-03-20,1.0
2019-03-21,0.0
2019-03-22,2.0
2019-03-23,2.0
2019-03-24,2.0
2019-03-25,2.0
2019-03-26,1.0
2019-03-27,1.0
2019-03-28,3.0
2019-03-29,1.0
2019-03-30,1.0
2019-03-31,1.0
2019-04-01,3.0
2019-04-02,3.0
2019-04-03,5.0
2019-04-04,1.0
2019-04-05,2.0
2019-04-06,0.0
2019-04-07,2.0
2019-04-08,3.0
2019-04-09,4.0
2019-04-10,0.0
2019-04-11,2.0
2019-04-12,2.0
2019-04-13,0.0
2019-04-14,2.0
2019-04-15,1.0
2019-04-16,2.0
2019-04-17,3.0
2019-04-18,4.0
2019-04-19,1.0
2019-04-20,1.0
2019-04-21,2.0
2019-04-22,5.0
2019-04-23,1.0
2019-04-24,4.0
2019-04-25,4.0
2019-04-26,4.0
2019-04-27,1.0
2019-04-28,2.0
2019-04-29,2.0
2019-04-30,2.0
2019-05-01,3.0
2019-05-02,4.0
2019-05-03,0.0
2019-05-04,3.0
2019-05-05,1.0
2019-05-06,4.0
2019-05-07,6.0
2019-05-08,3.0
2019-05-09,3.0
2019-05-10,0.0
2019-05-11,3.0
2019-05-12,2.0
2019-05-13,1.0
2019-05-14,4.0
2019-05-15,3.0
2019-05-16,6.0
2019-05-17,2.0
2019-05-18,3.0
2019-05-19,0.0
2019-05-20,3.0
2019-05-21,3.0
2019-05-22,5.0
2019-05-23,1.0
2019-05-24,1.0
2019-05-25,1.0
2019-05-26,0.0
2019-05-27,5.0
2019-05-28,5.0
2019-05-29,5.0
2019-05-30,3.0
2019-05-31,2.0
2019-06-01,3.0
2019-06-02,2.0
2019-06-03,2.0
2019-06-04,3.0
2019-06-05,2.0
2019-06-06,3.0
2019-06-07,2.0
2019-06-08,3.0
2019-06-09,4.0
2019-06-10,4.0
2019-06-11,5.0
2019-06-12,6.0
2019-06-13,4.0
2019-06-14,4.0
2019-06-15,1.0
2019-06-16,3.0
2019-06-17,6.0
2019-06-18,3.0
2019-06-19,4.0
2019-06-20,0.0
2019-06-21,2.0
2019-06-22,8.0
2019-06-23,3.0
2019-06-24,7.0
2019-06-25,9.0
2019-06-26,5.0
2019-06-27,4.0
2019-06-28,6.0
2019-06-29,1.0
2019-06-30,2.0
2019-07-01,8.0
2019-07-02,4.0
2019-07-03,4.0
2019-07-04,4.0
2019-07-05,2.0
2019-07-06,0.0
2019-07-07,2.0
2019-07-08,3.0
2019-07-09,6.0
2019-07-10,6.0
2019-07-11,4.0
2019-07-12,3.0
2019-07-13,0.0
2019-07-14,4.0
2019-07-15,3.0
2019-07-16,5.0
2019-07-17,2.0
2019-07-18,6.0
2019-07-19,11.0
2019-07-20,2.0
2019-07-21,4.0
2019-07-22,4.0
2019-07-23,5.0
2019-07-24,2.0
2019-07-25,3.0
2019-07-26,2.0
2019-07-27,2.0
2019-07-28,0.0
2019-07-29,5.0
2019-07-30,9.0
2019-07-31,7.0
2019-08-01,5.0
2019-08-02,3.0
2019-08-03,1.0
2019-08-04,2.0
2019-08-05,4.0
2019-08-06,2.0
2019-08-07,3.0
2019-08-08,0.0
2019-08-09,2.0
2019-08-10,1.0
2019-08-11,1.0
