date,group,product,sales
2018-01-01,AU,retail,5101
2018-01-01,CA,camping,9375
2018-01-01,AU,hobbies,10230
2018-01-01,CA,hiking,10206
2018-01-01,AU,outdoor,1889
2018-01-02,AU,retail,6481
2018-01-02,AU,hobbies,10671
2018-01-02,CA,camping,9507
2018-01-02,CA,hiking,10597
2018-01-02,AU,outdoor,4460
2018-01-03,AU,hobbies,11081
2018-01-03,CA,hiking,10655
2018-01-03,CA,camping,8902
2018-01-03,AU,retail,4776
2018-01-03,AU,outdoor,3603
2018-01-04,AU,retail,3636
2018-01-04,AU,hobbies,9222
2018-01-04,CA,camping,8210
2018-01-04,AU,outdoor,3279
2018-01-04,CA,hiking,9582
2018-01-05,CA,hiking,9010
2018-01-05,AU,hobbies,10019
2018-01-05,AU,retail,5606
2018-01-05,AU,outdoor,3415
2018-01-05,CA,camping,8908
2018-01-06,CA,camping,9601
2018-01-06,AU,hobbies,9842
2018-01-06,AU,retail,5683
2018-01-06,AU,outdoor,4269
2018-01-06,CA,hiking,9241
2018-01-07,CA,hiking,9975
2018-01-07,AU,outdoor,3879
2018-01-07,CA,camping,8202
2018-01-07,AU,retail,3833
2018-01-07,AU,hobbies,9708
2018-01-08,AU,hobbies,8271
2018-01-08,AU,outdoor,1151
2018-01-08,CA,camping,9663
2018-01-08,AU,retail,4703
2018-01-08,CA,hiking,9700
2018-01-09,AU,outdoor,4068
2018-01-09,AU,retail,5485
2018-01-09,CA,hiking,9136
2018-01-09,AU,hobbies,11496
2018-01-09,CA,camping,9215
2018-01-10,CA,hiking,12005
2018-01-10,AU,outdoor,2401
2018-01-10,CA,camping,8553
2018-01-10,AU,retail,4409
2018-01-10,AU,hobbies,9502
2018-01-11,AU,retail,792
2018-01-11,AU,hobbies,7532
2018-01-11,AU,outdoor,4345
2018-01-11,CA,hiking,8091
2018-01-11,CA,camping,8351
2018-01-12,CA,camping,9294
2018-01-12,AU,retail,5762
2018-01-12,AU,hobbies,9657
2018-01-12,CA,hiking,9406
2018-01-12,AU,outdoor,3596
