index,country,year,gdp,infrate,trade,schooling,invest60,invest70,invest80,industry,gdp_growth
1,USA,1960,2879,,9.693181,43.8,,,,,
1,USA,1961,2929,1.075182,9.444654,,,,,,1.7367141
1,USA,1962,3103,1.116071,9.429324,,,,,,5.940594
1,USA,1963,3227,1.214128,9.470706,,,,,,3.9961329
1,USA,1964,3420,1.308615,9.725879,,,,,,5.9807873
1,USA,1965,3667,1.668461,9.730347,43.8,,,,,7.2222223
1,USA,1966,3974,2.991,10.097592,,,,,,8.371966
1,USA,1967,4154,2.775636,10.208102,,,,,,4.5294414
1,USA,1968,4494,4.217721,10.593937,,,,,,8.184882
1,USA,1969,4805,5.414701,10.635633,,,,,,6.920338
1,USA,1970,4999,5.895296,11.388641,44.4,,,,,4.037461
1,USA,1971,5362,4.255929,11.367576,,,,,34.50863,7.261452
1,USA,1972,5838,3.305615,11.967158,,,,,34.44429,8.877285
1,USA,1973,6464,6.220064,13.713565,,,,,34.37521,10.72285
1,USA,1974,6951,11.03526,17.316135,,,,,34.03606,7.5340347
1,USA,1975,7519,9.13193,16.37969,42.6,,,,33.22567,8.171486
1,USA,1976,8300,5.737027,16.87366,,,,,33.76085,10.387019
1,USA,1977,9146,6.48646,17.22059,,,,,34.26464,10.192771
1,USA,1978,10229,7.647464,17.80619,,,,,34.03723,11.841242
1,USA,1979,11306,11.26604,19.280546,,,,,33.62648,10.528889
1,USA,1980,12186,13.50937,21.08158,62.9,0.23884,0.24568,22.376,33.51439,7.783478
1,USA,1981,13533,10.31553,20.363241,,,,,34.08828,11.053668
1,USA,1982,13940,6.160616,18.47162,,,,,32.90969,3.0074632
1,USA,1983,15008,3.212435,17.624308,,,,,31.49722,7.661406
1,USA,1984,16549,4.317269,18.577013,,,,,31.87278,10.267858
1,USA,1985,17600,3.561116,17.642408,57.4,,,,30.86452,6.3508368
1,USA,1986,18439,1.858736,17.954124,,,,,29.44326,4.7670455
1,USA,1987,19407,3.740876,19.116186,,,,,29.19973,5.2497425
1,USA,1988,20711,4.009088,20.330818,,,,,29.60649,6.719225
1,USA,1989,22047,4.827003,20.730293,,,,,28.61904,6.4506783
1,USA,1990,23064,5.397956,21.18795,44.4,,,,27.85032,4.6128726
1,USA,1991,23507,4.234964,21.26635,,,,,26.62006,1.9207423
1,USA,1992,24509,3.02882,21.54221,,,,,25.72843,4.26256
1,USA,1993,25409,2.951657,21.55765,,,,,25.61001,3.6721203
1,USA,1994,26670,2.607442,22.61822,,,,,26.08295,4.9628086
1,USA,1995,27574,2.80542,24.27398,44.6,,,,26.29285,3.3895762
1,USA,1996,28814,2.931204,24.58247,,,,,25.7854,4.4969897
1,USA,1997,30262,2.33769,25.59154,,,,,25.38429,5.025335
1,USA,1998,31519,1.552279,24.690569,,,,,25.01884,4.153724
1,USA,1999,33028,2.188027,,,,,,24.72505,4.7875886
1,USA,2000,34603,3.376857,,39.6,,,,24.44349,4.768681
1,USA,2001,35341,2.826171,,,,,,23.04858,2.1327631
1,USA,2002,36180,1.586032,,,,,,,2.3740132
1,USA,2003,37548,2.270095,,,,,,,3.7810946
2,UK,1960,2158,,43.25547,24.5,,,,,
2,UK,1961,2216,3.579418,41.53324,,,,,,2.6876738
2,UK,1962,2276,4.103672,40.404633,,,,,,2.7075813
2,UK,1963,2386,2.074689,40.406586,,,,,,4.83304
2,UK,1964,2534,3.211382,40.518764,,,,,,6.20285
2,UK,1965,2660,4.805041,39.225338,26.5,,,,,4.972376
2,UK,1966,2794,3.908305,38.964634,,,,,,5.037594
2,UK,1967,2923,2.423146,39.313187,,,,,,4.6170363
2,UK,1968,3173,4.731638,43.66513,,,,,,8.552856
2,UK,1969,3391,5.461902,44.038982,,,,,,6.8704696
2,UK,1970,3615,6.361893,45.247738,28.9,,,,,6.605721
2,UK,1971,3854,9.407875,44.9334,,,,,43.07859,6.6113415
2,UK,1972,4149,7.087912,43.559044,,,,,42.56008,7.654385
2,UK,1973,4683,9.209851,49.80358,,,,,42.1354,12.870571
2,UK,1974,5036,15.90322,60.96212,,,,,41.62375,7.537903
2,UK,1975,5481,24.23508,53.56206,31.0,,,,40.48818,8.836378
2,UK,1976,5953,16.53255,58.16979,,,,,41.08992,8.6115675
2,UK,1977,6489,15.88198,59.420418,,,,,41.33041,9.003863
2,UK,1978,7176,8.215962,55.65679,,,,,41.46581,10.587148
2,UK,1979,7973,13.46571,55.690353,,,,,41.82387,11.106466
2,UK,1980,8502,17.97059,52.326874,32.9,0.2008,0.22602,17.588,42.3463,6.634893
2,UK,1981,9161,11.87983,50.51421,,,,,41.89466,7.751117
2,UK,1982,9917,8.590529,50.752407,,,,,41.49169,8.252375
2,UK,1983,10669,4.607018,52.0913,,,,,40.90145,7.582938
2,UK,1984,11336,4.953409,57.00433,,,,,40.38236,6.2517576
2,UK,1985,12068,6.065421,56.622364,35.7,,,,39.76278,6.457304
2,UK,1986,12795,3.427615,52.056396,,,,,39.13434,6.024196
2,UK,1987,13717,4.148918,51.936165,,,,,38.03052,7.20594
2,UK,1988,14864,4.907976,49.64918,,,,,37.21299,8.361887
2,UK,1989,15716,7.797271,51.64563,,,,,36.62967,5.73197
2,UK,1990,16397,9.475588,51.46746,38.5,,,,35.17424,4.3331637
2,UK,1991,16681,5.853981,48.20938,,,,,33.12701,1.7320242
2,UK,1992,17069,3.732601,49.34976,,,,,31.88967,2.3259997
2,UK,1993,17845,1.564474,52.59363,,,,,31.27093,4.546253
2,UK,1994,18975,2.47645,54.25776,,,,,31.69333,6.332306
2,UK,1995,19860,3.410996,57.89684,39.9,,,,31.99648,4.6640315
2,UK,1996,20923,2.448706,59.84958,,,,,31.86726,5.352467
2,UK,1997,22280,3.132333,57.84053,,,,,31.07413,6.485686
2,UK,1998,23206,3.41817,55.989063,,,,,29.46092,4.1561937
2,UK,1999,23959,1.555385,,,,,,28.59877,3.2448504
2,UK,2000,25583,2.9271,,39.1,,,,28.47661,6.7782464
2,UK,2001,27026,1.820852,,,,,,27.47552,5.6404643
