date,location,product,sales,promo_multiplier,days_in_promo
2018-01-01,AU,retail,6525,1,0
2018-01-01,CA,camping,9518,1,0
2018-01-01,AU,hobbies,0,1,0
2018-01-01,CA,hiking,11640,1,0
2018-01-01,AU,outdoor,2774,1,0
2018-01-02,AU,retail,6088,1,0
2018-01-02,AU,hobbies,8449,1,0
2018-01-02,CA,camping,7881,1,0
2018-01-02,CA,hiking,9099,1,0
2018-01-02,AU,outdoor,3374,1,0
2018-01-03,AU,hobbies,10158,1,0
2018-01-03,CA,hiking,9064,1,0
2018-01-03,CA,camping,6903,1,0
2018-01-03,AU,retail,4474,1,0
2018-01-03,AU,outdoor,3491,1,0
2018-01-04,AU,retail,4548,1,0
2018-01-04,AU,hobbies,10343,1,0
2018-01-04,CA,camping,9371,1,0
2018-01-04,AU,outdoor,3278,1,0
2018-01-04,CA,hiking,10539,1,0
2018-01-05,CA,hiking,9214,1,0
2018-01-05,AU,hobbies,9197,1,0
2018-01-05,AU,retail,6329,1,0
2018-01-05,AU,outdoor,4720,1,0
2018-01-05,CA,camping,9556,1,0
2018-01-06,CA,camping,8282,1,0
2018-01-06,AU,hobbies,9079,1,0
2018-01-06,AU,retail,6022,1,0
2018-01-06,AU,outdoor,4797,1,0
2018-01-06,CA,hiking,9803,1,0
2018-01-07,CA,hiking,11511,1,0
2018-01-07,AU,outdoor,3868,1,0
2018-01-07,CA,camping,7998,1,0
2018-01-07,AU,retail,4324,1,0
2018-01-07,AU,hobbies,9535,1,0
2018-01-08,AU,hobbies,10343,1,0
2018-01-08,AU,outdoor,4788,1,0
2018-01-08,CA,camping,8471,1,0
2018-01-08,AU,retail,4312,1,0
2018-01-08,CA,hiking,10301,1,0
2018-01-09,AU,outdoor,3456,1,0
2018-01-09,AU,retail,7702,1,0
2018-01-09,CA,hiking,10453,1,0
2018-01-09,AU,hobbies,9437,1,0
2018-01-09,CA,camping,10333,1,0
2018-01-10,CA,hiking,10328,1,0
2018-01-10,AU,outdoor,3742,1,0
2018-01-10,CA,camping,8688,1,0
2018-01-10,AU,retail,4765,1,0
2018-01-10,AU,hobbies,8009,1,0
2018-01-11,AU,retail,5529,1,0
2018-01-11,AU,hobbies,6622,1,0
2018-01-11,AU,outdoor,3019,1,0
2018-01-11,CA,hiking,8250,1,0
2018-01-11,CA,camping,8451,1,0
2018-01-12,CA,camping,9338,1,0
2018-01-12,AU,retail,4395,1,0
2018-01-12,AU,hobbies,7759,1,0
2018-01-12,CA,hiking,10062,1,0
2018-01-12,AU,outdoor,5272,1,0
2018-01-13,AU,retail,4938,1,0
2018-01-13,AU,hobbies,10166,1,0
2018-01-13,CA,camping,10385,1,0
2018-01-13,CA,hiking,8374,1,0
2018-01-13,AU,outdoor,3218,1,0
2018-01-14,AU,hobbies,8279,1,0
2018-01-14,CA,camping,8411,1,0
2018-01-14,CA,hiking,11204,1,0
2018-01-14,AU,outdoor,3521,1,0
2018-01-14,AU,retail,5533,1,0
2018-01-15,AU,hobbies,9281,1,0
2018-01-15,CA,camping,8256,1,0
2018-01-15,AU,outdoor,4058,1,0
2018-01-15,CA,hiking,10923,1,0
2018-01-15,AU,retail,5697,1,0
2018-01-16,CA,hiking,10421,1,0
2018-01-16,CA,camping,8399,1,0
2018-01-16,AU,hobbies,10059,1,0
2018-01-16,AU,retail,1076,1,0
2018-01-16,AU,outdoor,3906,1,0
2018-01-17,CA,camping,7326,1,0
2018-01-17,CA,hiking,11335,1,0
2018-01-17,AU,hobbies,8520,1,0
2018-01-17,AU,outdoor,3315,1,0
2018-01-17,AU,retail,5313,1,0
2018-01-18,CA,hiking,10761,1,0
2018-01-18,AU,outdoor,1659,1,0
2018-01-18,AU,hobbies,9613,1,0
2018-01-18,CA,camping,8795,1,0
2018-01-18,AU,retail,5821,1,0
2018-01-19,CA,camping,9403,1,0
2018-01-19,CA,hiking,11307,1,0
2018-01-19,AU,outdoor,4014,1,0
2018-01-19,AU,hobbies,9378,1,0
2018-01-19,AU,retail,5870,1,0
2018-01-20,AU,retail,6782,1,0
2018-01-20,CA,hiking,9081,1,0
2018-01-20,AU,hobbies,9754,1,0
2018-01-20,CA,camping,8538,1,0
2018-01-20,AU,outdoor,2929,1,0
2018-01-21,AU,retail,5868,1,0
2018-01-21,CA,hiking,9499,1,0
2018-01-21,AU,hobbies,9175,1,0
2018-01-21,AU,outdoor,2998,1,0
2018-01-21,CA,camping,6833,1,0
2018-01-22,AU,retail,6164,1,0
2018-01-22,AU,hobbies,9215,1,0
2018-01-22,CA,hiking,8899,1,0
2018-01-22,AU,outdoor,3058,1,0
2018-01-22,CA,camping,7684,1,0
2018-01-23,CA,camping,9493,1,0
2018-01-23,AU,hobbies,9763,1,0
2018-01-23,AU,outdoor,4430,1,0
2018-01-23,AU,retail,6665,1,0
2018-01-23,CA,hiking,9941,1,0
2018-01-24,CA,hiking,10829,1,0
