DATE,PRODUCT,LOCALE,TRAFFIC
2018-11-01,bouldering,AU,1115
2018-11-01,bouldering,BR,354
2018-11-01,bouldering,CA,1260
2018-11-01,bouldering,CH,7
2018-11-01,bouldering,DE,122
2018-11-01,bouldering,ES,402
2018-11-01,bouldering,FR,190
2018-11-01,bouldering,GB,29387
2018-11-01,bouldering,HK,137
2018-11-01,bouldering,HU,1
2018-11-01,bouldering,IE,170
2018-11-01,bouldering,IN,1604
2018-11-01,bouldering,IT,164
2018-11-01,bouldering,JP,51
2018-11-01,bouldering,NL,92
2018-11-01,bouldering,NZ,191
2018-11-01,bouldering,PL,1285
2018-11-01,bouldering,RU,44
2018-11-01,bouldering,SG,218
2018-11-01,bouldering,US,8038
2018-11-02,bouldering,AU,1268
2018-11-02,bouldering,BR,328
2018-11-02,bouldering,CA,1410
2018-11-02,bouldering,CH,8
2018-11-02,bouldering,DE,149
2018-11-02,bouldering,ES,464
2018-11-02,bouldering,FR,204
2018-11-02,bouldering,GB,26228
2018-11-02,bouldering,HK,101
2018-11-02,bouldering,IE,171
2018-11-02,bouldering,IN,2160
2018-11-02,bouldering,IT,175
2018-11-02,bouldering,JP,43
2018-11-02,bouldering,NL,91
2018-11-02,bouldering,NZ,169
2018-11-02,bouldering,PL,1413
2018-11-02,bouldering,RU,43
2018-11-02,bouldering,SG,261
2018-11-02,bouldering,TR,2
2018-11-02,bouldering,US,8118
2018-11-03,bouldering,AU,1153
2018-11-03,bouldering,BR,340
2018-11-03,bouldering,CA,1218
2018-11-03,bouldering,CH,4
2018-11-03,bouldering,DE,132
2018-11-03,bouldering,ES,432
2018-11-03,bouldering,FR,182
2018-11-03,bouldering,GB,23213
2018-11-03,bouldering,HK,67
2018-11-03,bouldering,HU,2
2018-11-03,bouldering,IE,101
2018-11-03,bouldering,IN,2172
2018-11-03,bouldering,IT,122
2018-11-03,bouldering,JP,40
2018-11-03,bouldering,NL,82
2018-11-03,bouldering,NZ,159
2018-11-03,bouldering,PL,1295
2018-11-03,bouldering,PT,1
2018-11-03,bouldering,RU,33
2018-11-03,bouldering,SG,250
2018-11-03,bouldering,US,6810
2018-11-04,bouldering,AU,1338
2018-11-04,bouldering,BR,286
2018-11-04,bouldering,CA,1216
2018-11-04,bouldering,CH,3
2018-11-04,bouldering,DE,136
2018-11-04,bouldering,ES,441
2018-11-04,bouldering,FR,218
2018-11-04,bouldering,GB,24398
2018-11-04,bouldering,HK,112
2018-11-04,bouldering,HU,1
2018-11-04,bouldering,IE,191
2018-11-04,bouldering,IN,2157
2018-11-04,bouldering,IT,144
2018-11-04,bouldering,JP,30
2018-11-04,bouldering,NL,92
2018-11-04,bouldering,NZ,191
2018-11-04,bouldering,PL,1483
2018-11-04,bouldering,RU,62
2018-11-04,bouldering,SG,259
2018-11-04,bouldering,TR,3
2018-11-04,bouldering,US,6941
2018-11-05,bouldering,AU,1653
2018-11-05,bouldering,BR,437
2018-11-05,bouldering,CA,2115
2018-11-05,bouldering,CH,12
2018-11-05,bouldering,DE,242
2018-11-05,bouldering,ES,623
2018-11-05,bouldering,FR,302
2018-11-05,bouldering,GB,28929
2018-11-05,bouldering,HK,187
2018-11-05,bouldering,HU,1
2018-11-05,bouldering,IE,310
2018-11-05,bouldering,IN,2506
2018-11-05,bouldering,IT,245
2018-11-05,bouldering,JP,62
2018-11-05,bouldering,NL,115
2018-11-05,bouldering,NZ,245
2018-11-05,bouldering,PL,1365
2018-11-05,bouldering,PT,1
2018-11-05,bouldering,RU,75
2018-11-05,bouldering,SG,375
2018-11-05,bouldering,TR,5
2018-11-05,bouldering,US,15793
2018-11-06,bouldering,AU,1620
2018-11-06,bouldering,BR,432
2018-11-06,bouldering,CA,1814
2018-11-06,bouldering,CH,12
2018-11-06,bouldering,DE,228
2018-11-06,bouldering,ES,628
2018-11-06,bouldering,FR,294
2018-11-06,bouldering,GB,27446
2018-11-06,bouldering,HK,162
2018-11-06,bouldering,HU,2
2018-11-06,bouldering,IE,423
2018-11-06,bouldering,IN,2553
2018-11-06,bouldering,IT,249
2018-11-06,bouldering,JP,56
2018-11-06,bouldering,NL,95
2018-11-06,bouldering,NZ,245
2018-11-06,bouldering,PL,1368
2018-11-06,bouldering,RU,103
2018-11-06,bouldering,SG,325
2018-11-06,bouldering,TR,4
2018-11-06,bouldering,US,10861
2018-11-07,bouldering,AU,1928
2018-11-07,bouldering,BR,471
2018-11-07,bouldering,CA,1863
2018-11-07,bouldering,CH,15
2018-11-07,bouldering,DE,227
2018-11-07,bouldering,ES,637
2018-11-07,bouldering,FR,294
2018-11-07,bouldering,GB,27842
2018-11-07,bouldering,HK,156
2018-11-07,bouldering,HU,7
2018-11-07,bouldering,IE,435
2018-11-07,bouldering,IN,2529
2018-11-07,bouldering,IT,238
2018-11-07,bouldering,JP,66
2018-11-07,bouldering,NL,68
2018-11-07,bouldering,NZ,289
2018-11-07,bouldering,PL,1305
2018-11-07,bouldering,PT,1
2018-11-07,bouldering,RU,158
2018-11-07,bouldering,SG,439
2018-11-07,bouldering,TR,1
2018-11-07,bouldering,US,10485
2018-11-08,bouldering,AU,2087
2018-11-08,bouldering,BR,428
2018-11-08,bouldering,CA,1910
2018-11-08,bouldering,CH,9
2018-11-08,bouldering,DE,247
2018-11-08,bouldering,ES,624
2018-11-08,bouldering,FR,336
2018-11-08,bouldering,GB,27034
2018-11-08,bouldering,HK,159
2018-11-08,bouldering,HU,3
2018-11-08,bouldering,IE,475
2018-11-08,bouldering,IN,3350
2018-11-08,bouldering,IT,218
2018-11-08,bouldering,JP,77
2018-11-08,bouldering,NL,62
2018-11-08,bouldering,NZ,360
2018-11-08,bouldering,PL,1309
2018-11-08,bouldering,RU,147
2018-11-08,bouldering,SG,420
2018-11-08,bouldering,TR,7
2018-11-08,bouldering,US,10200
2018-11-09,bouldering,AU,1905
2018-11-09,bouldering,BR,422
2018-11-09,bouldering,CA,1867
2018-11-09,bouldering,CH,9
2018-11-09,bouldering,DE,186
2018-11-09,bouldering,ES,550
2018-11-09,bouldering,FR,316
2018-11-09,bouldering,GB,25170
2018-11-09,bouldering,HK,134
2018-11-09,bouldering,HU,8
2018-11-09,bouldering,IE,427
2018-11-09,bouldering,IN,3646
2018-11-09,bouldering,IT,179
2018-11-09,bouldering,JP,59
2018-11-09,bouldering,NL,46
2018-11-09,bouldering,NZ,308
2018-11-09,bouldering,PL,1357
2018-11-09,bouldering,RU,176
2018-11-09,bouldering,SG,428
2018-11-09,bouldering,TR,3
2018-11-09,bouldering,US,10351
2018-11-10,bouldering,AU,1594
2018-11-10,bouldering,BR,355
2018-11-10,bouldering,CA,1534
2018-11-10,bouldering,CH,12
2018-11-10,bouldering,DE,163
2018-11-10,bouldering,ES,492
2018-11-10,bouldering,FR,293
2018-11-10,bouldering,GB,22345
2018-11-10,bouldering,HK,110
2018-11-10,bouldering,HU,5
2018-11-10,bouldering,IE,316
2018-11-10,bouldering,IN,3476
2018-11-10,bouldering,IT,160
2018-11-10,bouldering,JP,51
2018-11-10,bouldering,NL,33
2018-11-10,bouldering,NZ,263
2018-11-10,bouldering,PL,1673
2018-11-10,bouldering,RU,146
2018-11-10,bouldering,SG,324
2018-11-10,bouldering,TR,6
2018-11-10,bouldering,US,8483
2018-11-11,bouldering,AU,1777
2018-11-11,bouldering,BR,375
2018-11-11,bouldering,CA,1369
2018-11-11,bouldering,CH,17
2018-11-11,bouldering,DE,171
2018-11-11,bouldering,ES,526
2018-11-11,bouldering,FR,280
2018-11-11,bouldering,GB,22615
2018-11-11,bouldering,HK,126
2018-11-11,bouldering,HU,4
2018-11-11,bouldering,IE,319
2018-11-11,bouldering,IN,3222
2018-11-11,bouldering,IT,159
2018-11-11,bouldering,JP,55
2018-11-11,bouldering,NL,40
2018-11-11,bouldering,NZ,309
2018-11-11,bouldering,PL,2149
2018-11-11,bouldering,RU,158
2018-11-11,bouldering,SG,389
2018-11-11,bouldering,TR,4
2018-11-11,bouldering,US,7690
2018-11-12,bouldering,AU,2189
2018-11-12,bouldering,BR,488
2018-11-12,bouldering,CA,2060
2018-11-12,bouldering,CH,17
2018-11-12,bouldering,DE,232
2018-11-12,bouldering,ES,614
2018-11-12,bouldering,FR,372
2018-11-12,bouldering,GB,28220
2018-11-12,bouldering,HK,171
2018-11-12,bouldering,HU,6
