abb,year,turnout,policy_edr,policy_mail_in,policy_motor
AL,1920,21.021074295043945,0.0,0.0,0.0
AL,1924,13.582328796386719,0.0,0.0,0.0
AL,1928,19.038503646850586,0.0,0.0,0.0
AL,1932,17.620019912719727,0.0,0.0,0.0
AL,1936,18.69237518310547,0.0,0.0,0.0
AL,1940,18.86406135559082,0.0,0.0,0.0
AL,1944,14.966899871826172,0.0,0.0,0.0
AL,1948,12.566221237182617,0.0,0.0,0.0
AL,1952,24.134014129638672,0.0,0.0,0.0
AL,1956,27.606143951416016,0.0,0.0,0.0
AL,1960,31.091875076293945,0.0,0.0,0.0
AL,1964,36.14635467529297,0.0,0.0,0.0
AL,1968,52.951229095458984,0.0,0.0,0.0
AL,1972,43.440975189208984,0.0,0.0,0.0
AL,1976,47.295082092285156,0.0,0.0,0.0
AL,1980,49.17292022705078,0.0,0.0,0.0
AL,1984,50.941768646240234,0.0,0.0,0.0
AL,1988,47.02707290649414,0.0,0.0,0.0
AL,1992,55.34305953979492,0.0,0.0,0.0
AL,1996,48.145103454589844,0.0,1.0,1.0
AL,2000,50.13337707519531,0.0,1.0,1.0
AL,2004,55.20000076293945,0.0,1.0,1.0
AL,2008,58.400001525878906,0.0,1.0,1.0
AL,2012,56.0,0.0,1.0,1.0
AZ,1920,42.85944366455078,0.0,0.0,0.0
AZ,1924,47.77377700805664,0.0,0.0,0.0
AZ,1928,40.395599365234375,0.0,0.0,0.0
AZ,1932,47.889461517333984,0.0,0.0,0.0
AZ,1936,47.36460876464844,0.0,0.0,0.0
AZ,1940,52.04898452758789,0.0,0.0,0.0
AZ,1944,39.35091781616211,0.0,0.0,0.0
AZ,1948,43.05466842651367,0.0,0.0,0.0
AZ,1952,52.11366653442383,0.0,0.0,0.0
AZ,1956,47.10588455200195,0.0,0.0,0.0
AZ,1960,54.43865966796875,0.0,0.0,0.0
AZ,1964,56.48143768310547,0.0,0.0,0.0
AZ,1968,50.17889404296875,0.0,0.0,0.0
AZ,1972,50.13463592529297,0.0,0.0,0.0
